Distance from wall (cm),U (eV)
0.0,5.0
0.001003344481605351,4.977715893611129
0.002006688963210702,4.955456699619015
0.0030100334448160534,4.933222473912584
0.004013377926421404,4.911013272695273
0.005016722408026755,4.888829152487879
0.006020066889632107,4.866670170131428
0.007023411371237458,4.844536382790098
0.008026755852842809,4.822427847954155
0.00903010033444816,4.800344623442953
0.01003344481605351,4.778286767407948
0.011036789297658861,4.7562543383357685
0.012040133779264214,4.7342473950513115
0.013043478260869565,4.712265996720886
0.014046822742474915,4.690310202855395
0.015050167224080266,4.668380073313556
0.016053511705685617,4.646475668305169
0.01705685618729097,4.624597048394418
0.01806020066889632,4.602744274503221
0.01906354515050167,4.580917407914629
0.02006688963210702,4.559116510276252
0.021070234113712373,4.537341643603751
0.022073578595317722,4.515592870284367
0.023076923076923075,4.493870253080485
0.024080267558528427,4.472173855133268
0.025083612040133776,4.450503739966324
0.02608695652173913,4.428859971489423
0.027090301003344478,4.407242614002272
0.02809364548494983,4.385651732198331
0.02909698996655518,4.3640873911686855
0.030100334448160532,4.342549656405977
0.03110367892976588,4.321038593808373
0.032107023411371234,4.299554269683606
0.03311036789297658,4.2780967507530585
0.03411371237458194,4.256666104155907
0.03511705685618729,4.2352623974533286
0.03612040133779264,4.213885698632753
0.03712374581939799,4.192536076112186
0.03812709030100334,4.1712135987445915
0.03913043478260869,4.149918335822329
0.04013377926421404,4.128650357081657
0.0411371237458194,4.107409732707304
0.042140468227424746,4.0861965333371
0.043143812709030095,4.065010830066672
0.044147157190635444,4.043852694454212
0.0451505016722408,4.022722198525311
0.04615384615384615,4.001619414777863
0.0471571906354515,3.98054441618704
0.048160535117056855,3.959497276210338
0.049163879598662204,3.9384780687926995
0.05016722408026755,3.917486868371709
0.0511705685618729,3.8965237498828653
0.05217391304347826,3.875588788764931
0.05317725752508361,3.8546820609653656
0.054180602006688956,3.8338036429458313
0.055183946488294305,3.81295361168779
0.05618729096989966,3.792132044698178
0.05719063545150501,3.771339020015171
0.05819397993311036,3.7505746162140303
0.059197324414715716,3.7298389124130464
0.060200668896321065,3.7091319882795637
0.061204013377926414,3.688453924036106
0.06220735785953176,3.6678048004665915
0.06321070234113711,3.647184698922645
0.06421404682274247,3.626593701330007
0.06521739130434782,3.6060318901950477
0.06622073578595317,3.5854993486113744
0.06722408026755852,3.564996160266552
0.06822742474916388,3.5445224094489216
0.06923076923076922,3.5240781810545347
0.07023411371237458,3.50366356059419
0.07123745819397992,3.48327863420059
0.07224080267558528,3.4629234886356084
0.07324414715719063,3.4425982112976765
0.07424749163879597,3.4223028902292896
0.07525083612040133,3.4020376141246293
0.07625418060200669,3.381802472337325
0.07725752508361203,3.3615975548883252
0.07826086956521738,3.3414229524739154
0.07926421404682274,3.3212787564738537
0.08026755852842808,3.301165058959654
0.08127090301003344,3.2810819527030013
0.0822742474916388,3.2610295311843087
0.08327759197324414,3.2410078886014224
0.08428093645484949,3.2210171198784736
0.08528428093645483,3.2010573206748743
0.08628762541806019,3.181128587394478
0.08729096989966555,3.1612310171948916
0.08829431438127089,3.1413647079969453
0.08929765886287624,3.121529758494337
0.0903010033444816,3.101726268163434
0.09130434782608694,3.0819543372732556
0.0923076923076923,3.062214066895623
0.09331103678929765,3.0425055589154955
0.094314381270903,3.0228289160414885
0.09531772575250835,3.003184241816579
0.09632107023411371,2.983571640629003
0.09732441471571905,2.9639912177233496
0.09832775919732441,2.944443079211859
0.09933110367892975,2.9249273320859226
0.1003344481605351,2.905444084227795
0.10133779264214046,2.8859934444225237
0.1023411371237458,2.8665755223700966
0.10334448160535116,2.8471904286978185
0.10434782608695652,2.8278382749729136
0.10535117056856186,2.8085191737153736
0.10635451505016721,2.7892332384110388
0.10735785953177257,2.7699805835249327
0.10836120401337791,2.7507613245148517
0.10936454849498327,2.7315755778452133
0.11036789297658861,2.7124234610011717
0.11137123745819397,2.6933050925030075
0.11237458193979932,2.6742205919207986
0.11337792642140467,2.6551700798893743
0.11438127090301002,2.6361536781235713
0.11538461538461538,2.617171509433786
0.11638795986622072,2.598223697741837
0.11739130434782608,2.579310368097148
0.11839464882943143,2.560431646693254
0.11939799331103677,2.5415876608846415
0.12040133779264213,2.5227785392039346
0.12140468227424749,2.5040044113794284
0.12240802675585283,2.4852654083529844
0.12341137123745818,2.4665616622983007
0.12441471571906353,2.447893306639556
0.1254180602006689,2.4292604760704473
0.12642140468227422,2.410663306573629
0.12742474916387958,2.392101935440563
0.12842809364548494,2.3735765012917884
0.1294314381270903,2.3550871440976304
0.13043478260869565,2.336634005199353
0.13143812709030098,2.3182172273307695
0.13244147157190633,2.2998369546403272
0.1334448160535117,2.2814933327136706
0.13444816053511705,2.263186508596711
0.1354515050167224,2.2449166308191995
0.13645484949832776,2.2266838494188317
0.13745819397993309,2.208488315965898
0.13846153846153844,2.190330183588475
0.1394648829431438,2.172209606998214
0.14046822742474915,2.154126742516699
0.1414715719063545,2.1360817481024217
0.14247491638795984,2.118074783378385
0.1434782608695652,2.1001060096603363
0.14448160535117055,2.0821755899856838
0.1454849498327759,2.0642836891430774
0.14648829431438126,2.0464304737027055
0.14749163879598662,2.0286161120473145
0.14849498327759195,2.0108407744039685
0.1494983277591973,1.9931046328765882
0.15050167224080266,1.9754078614792832
0.15150501672240801,1.9577506361704997
0.15250836120401337,1.9401331348880149
0.15351170568561873,1.9225555375848045
0.15451505016722406,1.9050180262658083
0.1555183946488294,1.8875207850256281
0.15652173913043477,1.8700640000871775
0.15752508361204012,1.8526478598413298
0.15852842809364548,1.8352725548875823
0.1595317725752508,1.81793827807578
0.16053511705685616,1.8006452245489288
0.16153846153846152,1.7833935917871402
0.16254180602006688,1.7661835796527372
0.16354515050167223,1.7490153904365713
0.1645484949832776,1.7318892289055818
0.16555183946488292,1.71480530235165
0.16655518394648827,1.6977638206417853
0.16755852842809363,1.6807649962696936
0.16856187290969898,1.6638090444087783
0.16956521739130434,1.6468961829666215
0.17056856187290967,1.6300266326409993
0.17157190635451502,1.6132006169774902
0.17257525083612038,1.596418362428727
0.17357859531772574,1.5796800984153627
0.1745819397993311,1.562986057388804
0.17558528428093645,1.546336474895783
0.17658862876254178,1.5297315896448425
0.17759197324414713,1.5131716435747862
0.1785953177257525,1.4966568819252004
0.17959866220735785,1.4801875533090991
0.1806020066889632,1.463763909787787
0.18160535117056853,1.4473862069480319
0.18260869565217389,1.4310547039816237
0.18361204013377924,1.4147696637674296
0.1846153846153846,1.3985313529560373
0.18561872909698995,1.3823400420570922
0.1866220735785953,1.3661960055294435
0.18762541806020064,1.3500995218742058
0.188628762541806,1.3340508737308643
0.18963210702341135,1.318050347976558
0.1906354515050167,1.3020982358286546
0.19163879598662206,1.286194832950783
0.19264214046822742,1.2703404395624505
0.19364548494983275,1.2545353605524183
0.1946488294314381,1.238779905595988
0.19565217391304346,1.2230743892763802
0.19665551839464882,1.207419131210388
0.19765886287625417,1.1918144561784894
0.1986622073578595,1.176260694259638
0.19966555183946486,1.1607581809709338
0.2006688963210702,1.1453072574124104
0.20167224080267557,1.1299082704171766
0.20267558528428092,1.1145615727071607
0.20367892976588628,1.0992675230547413
0.2046822742474916,1.084026486450534
0.20568561872909696,1.0688388342776458
0.20668896321070232,1.0537049444927202
0.20769230769230768,1.0386252018140982
0.20869565217391303,1.0235999979174744
0.20969899665551836,1.0086297316394195
