Z (cm),Phi (Volts) [Te=10.0eV]
0.0,0.0
0.010050251256281407,1.0684192433943496
0.020100502512562814,2.12955755098009
0.03015075376884422,3.1833136085763103
0.04020100502512563,4.229582502085716
0.05025125628140704,5.2682555083563365
0.06030150753768844,6.299219868963291
0.07035175879396985,7.322358545094709
0.08040201005025126,8.337549951485999
0.09045226130653267,9.344667667068363
0.10050251256281408,10.343580119674275
0.11055276381909548,11.334150241764771
0.12060301507537688,12.316235093701255
0.1306532663316583,13.289685450564633
0.1407035175879397,14.254345347909862
0.15075376884422112,15.210051581116533
0.16080402010050251,16.156633152127853
0.1708542713567839,17.093910656332824
0.18090452261306533,18.02169560109747
0.19095477386934673,18.939789645940994
0.20100502512562815,19.847983752517138
0.21105527638190955,20.74605723031512
0.22110552763819097,21.633776661230417
0.23115577889447236,22.51089468273033
0.24120603015075376,23.377148605063667
0.25125628140703515,24.232258832586567
0.2613065326633166,25.07592705245753
0.271356783919598,25.907834145229813
0.2814070351758794,26.727637760601077
0.2914572864321608,27.534969486873912
0.30150753768844224,28.32943152327414
0.31155778894472363,29.11059273834942
0.32160804020100503,29.87798396257766
0.3316582914572864,30.631092315111175
0.3417085427135678,31.36935429729931
0.35175879396984927,32.092147290027036
0.36180904522613067,32.7987789533347
0.37185929648241206,33.488473821407354
0.38190954773869346,34.1603560738711
0.3919597989949749,34.81342697607472
0.4020100502512563,35.446534691640736
0.4120603015075377,36.058332844209474
0.4221105527638191,36.64722187303901
0.4321608040201005,37.21126289592421
0.44221105527638194,37.748045192436244
0.45226130653266333,38.25446983900012
0.4623115577889447,38.72636720033239
0.4723618090452261,39.15774007691035
0.4824120603015075,39.538979812733494
0.49246231155778897,39.85103500407209
0.5025125628140703,40.0
0.5125628140703518,40.0
0.5226130653266332,40.0
0.5326633165829145,40.0
0.542713567839196,40.0
0.5527638190954774,40.0
0.5628140703517588,40.0
0.5728643216080402,40.0
0.5829145728643216,40.0
0.592964824120603,40.0
0.6030150753768845,40.0
0.6130653266331658,40.0
0.6231155778894473,40.0
0.6331658291457286,40.0
0.6432160804020101,40.0
0.6532663316582915,40.0
0.6633165829145728,40.0
0.6733668341708543,40.0
0.6834170854271356,40.0
0.6934673366834171,40.0
0.7035175879396985,40.0
0.7135678391959799,40.0
0.7236180904522613,40.0
0.7336683417085427,40.0
0.7437185929648241,40.0
0.7537688442211056,40.0
0.7638190954773869,40.0
0.7738693467336684,40.0
0.7839195979899498,40.0
0.7939698492462312,40.0
0.8040201005025126,40.0
0.8140703517587939,40.0
0.8241206030150754,40.0
0.8341708542713568,40.0
0.8442211055276382,40.0
0.8542713567839196,40.0
0.864321608040201,40.0
0.8743718592964824,40.0
0.8844221105527639,40.0
0.8944723618090452,40.0
0.9045226130653267,40.0
0.914572864321608,40.0
0.9246231155778895,40.0
0.9346733668341709,40.0
0.9447236180904522,40.0
0.9547738693467337,40.0
0.964824120603015,40.0
0.9748743718592965,40.0
0.9849246231155779,40.0
0.9949748743718593,40.0
1.0050251256281406,40.0
1.015075376884422,40.0
1.0251256281407035,40.0
1.035175879396985,40.0
1.0452261306532664,40.0
1.0552763819095476,40.0
1.065326633165829,40.0
1.0753768844221105,40.0
1.085427135678392,40.0
1.0954773869346734,40.0
1.105527638190955,40.0
1.1155778894472361,40.0
1.1256281407035176,40.0
1.135678391959799,40.0
1.1457286432160805,40.0
1.155778894472362,40.0
1.1658291457286432,40.0
1.1758793969849246,40.0
1.185929648241206,40.0
1.1959798994974875,40.0
1.206030150753769,40.0
1.2160804020100502,40.0
1.2261306532663316,40.0
1.236180904522613,40.0
1.2462311557788945,40.0
1.256281407035176,40.0
1.2663316582914572,40.0
1.2763819095477387,40.0
1.2864321608040201,40.0
1.2964824120603016,40.0
1.306532663316583,40.0
1.3165829145728642,40.0
1.3266331658291457,40.0
1.3366834170854272,40.0
1.3467336683417086,40.0
1.35678391959799,40.0
1.3668341708542713,40.0
1.3768844221105527,40.0
1.3869346733668342,40.0
1.3969849246231156,40.0
1.407035175879397,40.0
1.4170854271356783,40.0
1.4271356783919598,40.0
1.4371859296482412,40.0
1.4472361809045227,40.0
1.4572864321608041,40.0
1.4673366834170853,40.0
1.4773869346733668,40.0
1.4874371859296482,40.0
1.4974874371859297,40.0
1.5075376884422111,39.85103500407209
1.5175879396984926,39.538979812733494
1.5276381909547738,39.15774007691036
1.5376884422110553,38.72636720033239
1.5477386934673367,38.25446983900012
1.5577889447236182,37.74804519243624
1.5678391959798996,37.2112628959242
1.5778894472361809,36.64722187303901
1.5879396984924623,36.058332844209474
1.5979899497487438,35.446534691640736
1.6080402010050252,34.81342697607472
1.6180904522613067,34.16035607387109
1.6281407035175879,33.48847382140736
1.6381909547738693,32.7987789533347
1.6482412060301508,32.092147290027036
1.6582914572864322,31.369354297299306
1.6683417085427137,30.631092315111168
1.678391959798995,29.877983962577666
1.6884422110552764,29.11059273834942
1.6984924623115578,28.32943152327413
1.7085427135678393,27.534969486873912
1.7185929648241207,26.727637760601066
1.728643216080402,25.90783414522982
1.7386934673366834,25.07592705245753
1.7487437185929648,24.232258832586567
1.7587939698492463,23.37714860506366
1.7688442211055277,22.510894682730324
1.778894472361809,21.633776661230417
1.7889447236180904,20.74605723031512
