Z (cm),U (eV)
0.0,5.0
0.0025031289111389237,4.944238894812385
0.0050062578222778474,4.888633364749524
0.007509386733416772,4.833184288663187
0.010012515644555695,4.7778925579230895
0.012515644555694618,4.722759076704631
0.015018773466833543,4.667784762285814
0.017521902377972465,4.6129705453537095
0.02002503128911139,4.558317370320863
0.022528160200250315,4.503826195652068
0.025031289111389236,4.449497994201916
0.02753441802252816,4.395333753563619
0.030037546933667086,4.341334476429543
0.03254067584480601,4.287501180964
0.03504380475594493,4.233834901188797
0.03754693366708386,4.180336687382141
0.04005006257822278,4.127007606491447
0.0425531914893617,4.073848742560724
0.04505632040050063,4.020861197173153
0.04755944931163955,3.9680460899095955
0.05006257822277847,3.915404558823722
0.0525657071339174,3.862937760934584
0.05506883604505632,3.8106468727374048
0.057571964956195244,3.7585330907335037
0.06007509386733417,3.70659763198023
0.0625782227784731,3.654841734661913
0.06508135168961202,3.60326665868284
0.06758448060075094,3.551873686283365
0.07008760951188986,3.5006641226803064
0.0725907384230288,3.449639296732872
0.07509386733416772,3.398800561635397
0.07759699624530664,3.348149295638322
0.08010012515644556,3.2976869027988647
0.08260325406758448,3.2474148137629597
0.0851063829787234,3.197334486580164
0.08760951188986232,3.1474474075532917
0.09011264080100126,3.09775509212471
0.09261576971214018,3.0482590858013094
0.0951188986232791,2.9989609651203337
0.09762202753441802,2.9498623386584026
0.10012515644555695,2.900964848086198
0.10262828535669587,2.852270169271492
0.1051314142678348,2.8037800134333666
0.10763454317897372,2.755496128350682
0.11013767209011265,2.7074202996280974
0.11264080100125157,2.6595543520231586
0.11514392991239049,2.611900150838264
0.11764705882352941,2.564459603381601
0.12015018773466835,2.517234660501452
0.12265331664580727,2.4702273181986394
0.1251564455569462,2.423439619322229
0.1276595744680851,2.376873655354056
0.13016270337922403,2.330531568288076
0.13266583229036297,2.2844155526110437
0.13516896120150187,2.238527857391588
0.1376720901126408,2.1928707884853336
0.14017521902377972,2.1474467108644144
0.14267834793491865,2.102258051080437
0.1451814768460576,2.0573072998707937
0.1476846057571965,2.012597014919094
0.15018773466833543,1.9681298237815281
0.15269086357947434,1.9239084269920552
0.15519399249061328,1.8799356013605593
0.15769712140175218,1.8362142034795101
0.16020025031289112,1.7927471734561882
0.16270337922403005,1.7495375388892835
0.16520650813516896,1.7065884191105927
0.1677096370463079,1.6639030297147295
0.1702127659574468,1.6214846874022173
0.17271589486858574,1.5793368151640759
0.17521902377972465,1.537462947839166
0.17772215269086358,1.4958667380790742
0.18022528160200252,1.4545519627593622
0.18272841051314143,1.4135225298805858
0.18523153942428036,1.372782486007702
